Membership_ID,Member_ID,Membership_Type,Start_Date,End_Date
2001,501,Premium,2025-03-12,2029-03-12
2002,502,Standard,2025-02-15,2029-02-15
2003,503,Premium,2025-01-05,2029-01-05
2004,504,Standard,2024-12-20,2028-12-20
2005,505,Premium,2024-11-14,2028-11-14
2006,506,Standard,2024-10-10,2028-10-10
2007,507,Premium,2024-09-02,2028-09-02
2008,508,Standard,2024-08-25,2028-08-25
2009,509,Premium,2024-07-10,2028-07-10
2010,510,Standard,2024-06-18,2028-06-18
2011,511,Premium,2024-05-01,2028-05-01
2012,512,Standard,2024-04-22,2028-04-22
2013,513,Premium,2024-03-14,2028-03-14
2014,514,Standard,2024-02-09,2028-02-09
2015,515,Premium,2024-01-15,2028-01-15
2016,516,Standard,2023-12-28,2027-12-28
2017,517,Premium,2023-11-30,2027-11-30
2018,518,Standard,2023-10-18,2027-10-18
2019,519,Premium,2023-09-05,2027-09-05
2020,520,Standard,2023-08-01,2027-08-01
2021,521,Premium,2024-06-11,2028-06-11
2022,522,Standard,2024-01-20,2028-01-20
2023,523,Premium,2025-04-15,2029-04-15

