Author_ID,Name,DOB,Nationality
101,Andrew S. Tanenbaum,1944-03-16,USA
102,James Gosling,1955-05-19,Canada
103,Donald Knuth,1938-01-10,USA
104,Bjarne Stroustrup,1950-12-30,Denmark
105,Guido van Rossum,1956-01-31,Netherlands
106,Linus Torvalds,1969-12-28,Finland
107,Kathy Sierra,1957-04-27,USA
108,Robert C. Martin,1952-12-05,USA
109,Martin Fowler,1963-12-18,UK
110,Herbert Schildt,1951-02-28,USA
111,Mark Lutz,1961-06-14,USA
112,Edsger W. Dijkstra,1930-05-11,Netherlands
113,John McCarthy,1927-09-04,USA
114,Leslie Lamport,1941-02-07,USA
115,Brian Kernighan,1942-01-01,Canada
116,Dennis Ritchie,1941-09-09,USA
117,Ken Thompson,1943-02-04,USA
118,David Flanagan,1965-11-05,USA
119,Paul Graham,1964-11-13,UK
120,Peter Norvig,1956-12-14,USA
