Issue_ID,Member_ID,Book_ID,Employee_ID,Issue_Date,Due_Date,Return_Date
1,501,1001,401,2025-03-01,2025-03-16,2025-03-10
2,502,1005,402,2025-03-02,2025-03-17,2025-03-18
3,503,1010,403,2025-03-05,2025-03-20,
4,504,1015,404,2025-03-07,2025-03-22,2025-03-20
5,505,1020,405,2025-03-10,2025-03-25,
6,506,1030,406,2025-03-12,2025-03-27,2025-03-25
7,507,1040,407,2025-03-15,2025-03-30,
8,508,1050,408,2025-03-18,2025-04-02,2025-03-30
9,509,1060,409,2025-03-20,2025-04-04,
10,510,1070,410,2025-03-22,2025-04-06,2025-04-04
11,511,1002,401,2025-03-23,2025-04-07,2025-04-05
12,512,1011,402,2025-03-25,2025-04-09,
13,513,1021,403,2025-03-27,2025-04-11,2025-04-09
14,514,1031,404,2025-03-29,2025-04-13,
15,515,1041,405,2025-03-30,2025-04-14,2025-04-12
16,516,1051,406,2025-04-01,2025-04-16,2025-04-14
17,517,1061,407,2025-04-02,2025-04-17,
18,518,1071,408,2025-04-04,2025-04-19,
19,519,1080,409,2025-04-05,2025-04-20,2025-04-18
20,520,1035,410,2025-04-06,2025-04-21,
21,501,1075,401,2025-04-08,2025-04-23,2025-04-21
22,502,1006,402,2025-04-10,2025-04-25,
23,503,1026,403,2025-04-12,2025-04-27,
24,504,1046,404,2025-04-14,2025-04-29,2025-04-27
25,505,1066,405,2025-04-16,2025-05-01,
26,506,1080,406,2025-04-18,2025-05-03,2025-05-01
27,507,1017,407,2025-04-20,2025-05-05,
28,508,1037,408,2025-04-22,2025-05-07,
29,509,1057,409,2025-04-24,2025-05-09,2025-05-07
30,510,1077,410,2025-04-26,2025-05-11,

