Fine_ID,Issue_ID,Amount,Status,Payment_Date
601,3,76,Unpaid,NULL
602,5,71,Unpaid,NULL
603,7,66,Paid,2025-03-14
604,9,61,Unpaid,NULL
605,12,56,Paid,2025-02-22
606,14,52,Paid,2025-03-19
607,17,48,Unpaid,NULL
608,18,46,Paid,2025-01-27
609,20,44,Paid,2025-02-05
610,22,40,Unpaid,NULL
611,23,38,Paid,2025-03-08
612,25,34,Unpaid,NULL
613,27,30,Paid,2025-03-02
614,28,28,Unpaid,NULL
615,30,24,Paid,2025-02-11
616,32,22,Unpaid,NULL
617,33,21,Paid,2025-01-16
618,34,20,Paid,2025-02-29
619,35,19,Unpaid,NULL
620,36,18,Unpaid,NULL
621,37,17,Paid,2025-03-28
622,38,16,Paid,2025-04-01
623,39,15,Unpaid,NULL
624,40,14,Paid,2025-03-05
625,41,13,Unpaid,NULL
626,42,12,Paid,2025-02-19
627,43,11,Paid,2025-03-11
628,44,10,Unpaid,NULL
629,45,9,Paid,2025-01-30
630,46,8,Unpaid,NULL

