Transaction_ID,Membership_ID,Fine_ID,Payment_Amount,Payment_Method,Payment_Date
701,2001,601,250,Cash,2024-03-01
702,2002,602,120.5,Card,2024-03-03
703,2003,,500,Online,2024-03-05
704,2004,603,75,Cash,2024-03-07
705,2005,,300,Card,2024-03-08
706,2006,604,95.25,Online,2024-03-10
707,2007,605,180,Cash,2024-03-12
708,2008,,450.75,Online,2024-03-15
709,2009,606,60,Card,2024-03-17
710,2010,,275,Cash,2024-03-18
711,2011,607,130,Online,2024-03-20
712,2012,608,200.5,Card,2024-03-22
713,2013,,350,Online,2024-03-24
714,2014,609,90,Cash,2024-03-26
715,2015,610,170,Card,2024-03-28
716,2016,,400,Online,2024-03-30
717,2017,611,85,Cash,2024-04-01
718,2018,612,110.75,Card,2024-04-03
719,2019,,500,Online,2024-04-05
720,2020,613,145,Cash,2024-04-07
721,2001,614,95,Online,2024-04-08
722,2002,,320,Card,2024-04-10
723,2003,615,220,Cash,2024-04-12
724,2004,616,150,Card,2024-04-14
725,2005,,275,Online,2024-04-16
726,2006,617,100,Cash,2024-04-18
727,2007,618,60.5,Card,2024-04-20
728,2008,,500,Online,2024-04-22
729,2009,619,175,Cash,2024-04-24
730,2010,620,90,Card,2024-04-26
